"time","date","symbol","event","actual","deviation","consensus","previous","day_value","date_time"
"04:30",2022-10-17,"JPY","Capacity Utilization(Aug)",0.012,0.21,0.002,0.024,"17",2022-10-17 15:30:00
"04:30",2022-10-17,"JPY","Industrial Production (MoM)(Aug)",0.034,0.37,0.027,0.027,"17",2022-10-17 15:30:00
"04:30",2022-10-17,"JPY","Industrial Production (YoY)(Aug)",0.058,0.43,0.051,0.051,"17",2022-10-17 15:30:00
"04:30",2022-10-17,"JPY","Tertiary Industry Index (MoM)(Aug)",0.007,0.39,0.004,0.006,"17",2022-10-17 15:30:00
"08:00",2022-10-17,"EUR","Consumer Price Index (EU Norm) (MoM)(Sep)",0.016,0.33,0.017,0.017,"17",2022-10-17 19:00:00
"08:00",2022-10-17,"EUR","Consumer Price Index (EU Norm) (YoY)(Sep)",0.094,0.28,0.095,0.095,"17",2022-10-17 19:00:00
"08:00",2022-10-17,"EUR","Consumer Price Index (MoM)(Sep)",0.003,0,0.003,0.003,"17",2022-10-17 19:00:00
"08:00",2022-10-17,"EUR","Consumer Price Index (YoY)(Sep)",0.089,0,0.089,0.089,"17",2022-10-17 19:00:00
"12:30",2022-10-17,"USD","NY Empire State Manufacturing Index(Oct)",9.1,0.24,4,1.5,"17",2022-10-17 23:30:00
"15:30",2022-10-18,"USD","3-Month Bill Auction",0.0382,NA,NA,0.0351,"17",2022-10-18 02:30:00
"15:30",2022-10-18,"USD","6-Month Bill Auction",0.04245,NA,NA,0.0403,"17",2022-10-18 02:30:00
"21:45",2022-10-18,"NZD","Consumer Price Index (QoQ)(Q3)",0.022,1.75,0.016,0.017,"17",2022-10-18 08:45:00
"21:45",2022-10-18,"NZD","Consumer Price Index (YoY)(Q3)",0.072,1.79,0.066,0.073,"17",2022-10-18 08:45:00
"08:00",2022-10-18,"EUR","Global Trade Balance(Aug)",1.807e+11,NA,NA,2.367e+11,"18",2022-10-18 19:00:00
"08:00",2022-10-18,"EUR","Trade Balance EU(Aug)",9.569e+11,NA,NA,4.6e+09,"18",2022-10-18 19:00:00
"09:00",2022-10-18,"EUR","ZEW Survey – Economic Sentiment(Oct)",59.7,0.09,60.6,60.7,"18",2022-10-18 20:00:00
"09:00",2022-10-18,"EUR","ZEW Survey – Current Situation(Oct)",72.2,0.77,68,60.5,"18",2022-10-18 20:00:00
"09:00",2022-10-18,"EUR","ZEW Survey – Economic Sentiment(Oct)",59.2,0.87,65.7,61.9,"18",2022-10-18 20:00:00
"09:30",2022-10-18,"GBP","30-y Bond Auction",0.04409,NA,NA,0.0236,"18",2022-10-18 20:30:00
"12:15",2022-10-18,"CAD","Housing Starts s.a (YoY)(Sep)",299600,3.23,263000,270400,"18",2022-10-18 23:15:00
"12:30",2022-10-18,"CAD","Canadian Portfolio Investment in Foreign Securities(Aug)",1.41e+10,NA,NA,4.29e+10,"18",2022-10-18 23:30:00
"12:30",2022-10-18,"CAD","Foreign Portfolio Investment in Canadian Securities(Aug)",2.201e+11,NA,NA,1.473e+11,"18",2022-10-18 23:30:00
"12:55",2022-10-18,"USD","Redbook Index (YoY)(Oct 14)",0.08,NA,NA,0.083,"18",2022-10-18 23:55:00
"13:15",2022-10-19,"USD","Capacity Utilization(Sep)",0.803,0.84,0.8,0.801,"18",2022-10-19 00:15:00
"13:15",2022-10-19,"USD","Industrial Production (MoM)(Sep)",0.004,0.82,0.001,0.001,"18",2022-10-19 00:15:00
"14:00",2022-10-19,"USD","NAHB Housing Market Index(Oct)",38,1.55,43,46,"18",2022-10-19 01:00:00
"14:00",2022-10-19,"NZD","GDT Price Index",0.046,1.26,0.006,0.035,"18",2022-10-19 01:00:00
"20:00",2022-10-19,"USD","Net Long-Term TIC Flows(Aug)",1.979e+11,NA,NA,2.14e+10,"18",2022-10-19 07:00:00
